From date,To date,Competition,Age,Weapon,Location,Venue
"Sunday, 28 August 2016","Sunday, 28 August 2016",U20 BRC Kidderminster Epee,U20,Epee,Kidderminster,Bromsgrove school
"Sunday, 11 September 2016","Sunday, 11 September 2016",Smith trophy,U18,Foil,Dunblane,Dunblane centre
"Saturday, 17 September 2016","Saturday, 17 September 2016",U17 BRC Leon paul foil,U17,Foil,London,Leon paul fencing centre
"Sunday, 18 September 2016","Sunday, 18 September 2016",SFA Training day,NA,Epee,Dunfermline,Queen Anne high school
"Saturday, 24 September 2016","Sunday, 25 September 2016",Newcastle open,Open,Epee and foil ,Newcastle,Newcastle fencing centre
"Sunday, 25 September 2016","Sunday, 25 September 2016",Bang and Olufsen U17 BRC Epee,U17,Epee,Canterbury,Kings school Canterbury
"Saturday, 1 October 2016","Sunday, 2 October 2016",YDS Round 1,U15,Epee and foil ,,Dunfermline High School
"Saturday, 8 October 2016","Sunday, 9 October 2016",Holyrood Cup,????,Epee and foil ,Edinburgh,
"Sunday, 9 October 2016","Sunday, 9 October 2016",SFA Training day,NA,Epee,Dunfermline,Queen Anne high school
"Saturday, 15 October 2016","Saturday, 15 October 2016",U17 BRC Leon paul Epee,U17,Epee,London,Leon paul fencing centre
"Saturday, 15 October 2016","Sunday, 16 October 2016",Scottish open,Open,Epee and foil ,Edinburgh,Heriot Watt university
"Sunday, 30 October 2016","Sunday, 30 October 2016",International qualifier 1,U15,Epee and foil ,Dunfermline,
"Saturday, 5 November 2016","Sunday, 6 November 2016",YDS Round 2,U15,Epee and foil ,,
"Sunday, 13 November 2016","Sunday, 13 November 2016",LPJS Millfield Epee,U15,Epee and foil ,Somerset,Millfield school
"Saturday, 10 December 2016","Saturday, 10 December 2016",International qualifier 2,U15,Epee and foil,Dunfermline,
"Saturday, 10 December 2016","Sunday, 11 December 2016",M8 open ,Open,Epee and foil,Bathgate,Bathgate academy sports centre
"Thursday, 14 January 2016","Thursday, 14 January 2016",International qualifier,U15,Epee and foil,,
"Thursday, 14 January 2016","Thursday, 14 January 2016",U20 BRC Leon paul Epee,U20,Epee,London,Leon paul fencing centre
"Thursday, 21 January 2016","Friday, 22 January 2016",YDS 3,U15,Epee and foil,,High School of Dundee
"Thursday, 11 February 2016","Friday, 12 February 2016",Merseyside open,Open,Epee and foil,,
"Friday, 12 February 2016","Friday, 12 February 2016",SFA Training day,NA,Epee  ,Dunfermline,Queen Anne high school
"Thursday, 25 February 2016","Thursday, 25 February 2016",Tri Weapon Cup,,,,
"Thursday, 25 February 2016","Friday, 26 February 2016",British schools teams,U15/O15,Epee and foil,,
"Friday, 4 March 2016","Friday, 4 March 2016",Dundee duel,Open,Epee,,
"Wednesday, 16 March 2016","Sunday, 20 March 2016",Challenge Wratislavia,U15,Epee and foil,Poland ,
"Friday, 1 April 2016","Saturday, 2 April 2016",Elite Epee event weekend,U17,Epee,,
"Friday, 8 April 2016","Saturday, 9 April 2016",Glasgow open,Open,Epee and foil,,
"Friday, 22 April 2016","Saturday, 23 April 2016",YDS 4,U15,Epee and foil,,
"Friday, 29 April 2016","Saturday, 30 April 2016",BYC'S,U16,Epee and foil,Sheffield,EIS arena